Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Philippines,PHL,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,62952
Philippines,PHL,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,60900
Philippines,PHL,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,58800
Philippines,PHL,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,56800
Philippines,PHL,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,54700
Philippines,PHL,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,52600
Philippines,PHL,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,50500
Philippines,PHL,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,48500
Philippines,PHL,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,46400
Philippines,PHL,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,44400
Philippines,PHL,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,42300
Philippines,PHL,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,40250
Philippines,PHL,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,35750
Philippines,PHL,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,31200
Philippines,PHL,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,26700
Philippines,PHL,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22200
Philippines,PHL,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17700
Philippines,PHL,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,13200
Philippines,PHL,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8670
Philippines,PHL,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9374
Philippines,PHL,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9832
Philippines,PHL,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10208
Philippines,PHL,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10533
Philippines,PHL,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10962
Philippines,PHL,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10820
Philippines,PHL,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10616
Philippines,PHL,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10442
Philippines,PHL,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10410
Philippines,PHL,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9385
Philippines,PHL,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8367
Philippines,PHL,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7611
Philippines,PHL,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7212
Philippines,PHL,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6810
Philippines,PHL,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7000
Philippines,PHL,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6100
Philippines,PHL,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5252
Philippines,PHL,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5245
Philippines,PHL,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5235
Philippines,PHL,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5230
Philippines,PHL,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5226
Philippines,PHL,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4173
Philippines,PHL,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4100
Philippines,PHL,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,329.5467
Philippines,PHL,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,634.1566
